Economy code,Year,Poverty line,Economy,Region,Welfare type,Level,Reporting level,Method,Poverty rate $2.15/day (2017 PPPs),Assumption,Label,Label not,National,Difference,Difference - DOU,Difference - DB,Difference National,
COL,2015,$2.15 ,Colombia,LAC,NA,Rural - DB,Rural,Alternative,14.14248943,DB,14.14 (rural),14.14 (rural),4.925476015,-9.217013415,,-9.217013415,,
COL,2015,$2.15 ,Colombia,LAC,NA,Rural - DOU,Rural,Alternative,10.74316278,DOU,10.74 (rural),10.74 (rural),4.925476015,-5.817686765,-5.817686765,,,
COL,2015,$2.15 ,Colombia,LAC,NA,Town - DB,Town,Alternative,7.056295872,DB,7.06 (town),7.06 (town),4.925476015,-2.130819857,,-2.130819857,,
COL,2015,$2.15 ,Colombia,LAC,NA,National - PIP,National,PIP,4.925476015,PIP,4.93 (national),4.93,4.925476015,0,,,0,
COL,2015,$2.15 ,Colombia,LAC,NA,Suburb - DB,Suburb,Alternative,4.163213447,DB,4.16 (suburb),4.16 (suburb),4.925476015,0.762262568,,0.762262568,,
COL,2015,$2.15 ,Colombia,LAC,NA,Urban cluster - DOU,Urban cluster,Alternative,4.056103528,DOU,4.06 (urban cluster),4.06 (urban cluster),4.925476015,0.869372487,0.869372487,,,
COL,2015,$2.15 ,Colombia,LAC,NA,Urban - DOU,Urban,Alternative,2.512506396,DOU,2.51 (urban),2.51 (urban),4.925476015,2.412969619,2.412969619,,,
COL,2015,$2.15 ,Colombia,LAC,NA,Urban - DB,Urban,Alternative,2.474473044,DB,2.47 (urban),2.47 (urban),4.925476015,2.451002971,,2.451002971,,
COL,2015,$2.15 ,Colombia,LAC,NA,Urban core - DB,Urban core,Alternative,2.259157225,DB,2.26 (urban core),2.26 (urban core),4.925476015,2.66631879,,2.66631879,,
COL,2015,$2.15 ,Colombia,LAC,NA,Urban center - DOU,Urban center,Alternative,2.151573636,DOU,2.15 (urban center),2.15 (urban center),4.925476015,2.773902379,2.773902379,,,
